title,headline,media,inspiration,what_it_does,how_we_built_it,challenges,accomplishments,lessons,whats_next,built_with,demos
CRCH Telehealth OTTO Guide,"
    Our project is a webpage that aims to assist CRCH's elderly and LEP patients with the OTTO Telehealth service. It is a user-friendly website with multiple language translations available. 
  ",['https://www.youtube.com/embed/fmTSPPhN2pw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"What inspired our project was seeing how only 6% of CRCH's patients preferred telehealth services as opposed to in-person and phone calls. We believe this was mainly due to language barriers since 60% of CRCH's patients require health services in a different language other than English. As many of us in our group come from families with non-English speaking backgrounds, we felt a personal connection to this issue. In addition, CRCH did not have a virtual visit guide on its website. ","Our webpage is an online resource for patients that are new to telehealth services. It includes a video and written step-by-step guide with screenshots of what the user will see during their telehealth visit. It is also available in Spanish currently and will be available in other languages soon. the website also includes a FAQs page that users can turn to to get general information on telehealth and OTTO, CRCH's telehealth service provider. ",We primarily used Weebly's free website building service. We also used Canvas to edit our pictures on our written guide and iMovie for our video guide. ,"Time management was our biggest challenge as this was a 48-hour hack. We didn't have enough time to put in all the languages we were hoping to and include a guide for Android users. However, these can be easily added in weeks to come. ",We are proud of the design of our website and how easy it is to navigate through. We are also proud of leveraging each group member's skill set. It was an amazing group project experience and has taught us a lot about what works to make projects like this successful. ,"We learned how to divide up work effectively and efficiently and other new group-work skills. We also learned how to use Weebly. In addition, from our research, we learned many new things regarding health services. ","The next steps for CRCH Telehealth OTTO Guide are being available in the most common languages CRCH patients speak, guides for different phone operating systems, and even more information on the FAQs page. In addition, we would like to add links to this site on CRCH's website as well as in their text message and email communications regarding virtual visits. ","['canvas', 'imovie', 'weebly']",['https://crchtelehealth.weebly.com/']
Land's Sake Farm Hack for Impact,"
    None of us have ever done a hackathon before, but we are proud of and Land’s Sake is thrilled about our ideas as they are easily implementable and will make a difference from the moment the farm opens
  ",['https://player.vimeo.com/video/526978089?byline=0&portrait=0&title=0#t='],"From speaking with Beth and Pam, we know that most crucial is growing the Land’s Sake community as this is central to their mission and to proving the benefits of their year round infrastructure and business model. It is hard to say we are growing without understanding where your baseline community is. This count information and these branding ideas will help Land’s Sake develop a strategic growth plan as they enter their community funded capital campaign. Land's Sake is so inspirational as an organization and is especially important for the community in times of rapid climate change and hunger relief during the pandemic. We aimed to help in the largest capacity we could in this time frame while solving real and practical issues for the farm. Our biggest inspirations mid-project definitely came from each other, having fun with our different backgrounds, and bouncing off ideas!","Two part project
One
We designed a laser counter. Basically, a laser is shot across an opening and anytime someone passes, the digital counter will take a tally. It is a design open to battery or solar power. The weather resistant box housing the laser will then be mounted on existing poles at each of the three paths leading from the parking lot to various areas of the farm. The design and controls are simple, it is low cost, less than 100 dollars, and only requires a person to flip a switch each day. To get an accurate count, divide by 2 to account for entrance and exit. The blinking light each time someone passes through increase the counter.
Two
We also focused on branding as a way to understand and engage the community. The farm is open and welcome to everyone anytime they are open! Unlike many establishments in Weston you do not need membership to stop by. We focused on simplifying messages and including ""everyone/all"" in signage on the road as well as increasing online engagement through social media and organic search. (more in video!)",Above in part and watch video! Definite use of tinkercad for the laser element and its box (create a free acount to see deisgn elements). The sign we recreated in slides based on the built pieces they already have so that they do not need to focus on getting many more new materials!,Time for this form! :) Did not realize it would be part of the submission. Very difficult to encompass all of our work in three minutes of presentation. Had to drop one of our favorite parts of the project because it was the least implementable in the moment and we did not have time to include it in the presentation.,"We did this! Beth and Pam of Lands Sake are incredibly excited about it as well. Team dynamics were fabulous, too, though some have, we have not all worked together before!","Communication would be easier across just one platform versus 5 :) We had also never participated in a hackathon, sourced a team, used tinkercad, designed a circuit, nor a sign before!",Continuing to help the farm!,['tinkercad'],"['https://www.tinkercad.com/things/3sUSoMgQ4hf-spectacular-kieran-kasi/editel?sharecode=fVD2Kz0tReq2rkvqvo8YUlrryH0h83F24_oev65C34Q', 'https://www.tinkercad.com/things/66hqoJkkjYK-mighty-blorr-albar/edit?sharecode=PEQKwLd7GVd-EmQ-Qy2aXSdZfoAXlvlC6H7enAiyfVg']"
Digital Brand Identity Hack,"
     📊 Improving brand promotion for Haven's different audiences and providing analytics and research informing those decisions.
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/860/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/963/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/951/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/934/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/945/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/948/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/950/datas/gallery.jpg', 'https://www.youtube.com/embed/JLyQFt9hNnM?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/860/datas/original.gif', None, 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/963/datas/original.PNG', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/951/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/934/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/945/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/948/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/950/datas/original.png']",,,,,,,,"['fanpage-karma', 'google-analytics', 'research']",
HeatPumpBuddy,"
    HeatPumpBuddy is a website that empowers prospective heat pump owners, connecting with Heat Smart Alliance coaches to learn how to reduce their carbon footprint in their household.
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/326/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/323/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/325/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/327/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/322/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/328/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/324/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/321/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/329/datas/gallery.jpg', 'https://www.youtube.com/embed/UdXs2Ub1hL0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/326/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/323/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/325/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/327/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/322/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/328/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/324/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/321/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/329/datas/original.png']","HeatPumpBuddy was created by Mitchell Dodell, Rachel Plotnik, Sonali Anderson, and Daniel Hariyanto for the HeatSmartAlliance.",,"HeatPumpBuddy was built using the NextJS and React framework, along with a Flask machine learning API. We designed the application in Figma before bringing it to life through our development process. It is fully responsive on both mobile, tablet, and web so anyone can use this website at any time - whether they are researching options at home or on the bus to work.The machine-learning algorithm allows users to enter information about their home and matches them with  3 heat coaches using a nearest-neighbor algorithm, so they can choose the coach who best suits their needs and preferences. The website is SEO optimized with Next, so someone looking up heat pumps would find our website and be able to learn more.The website is hosted on Netlify for easy deployment, while the API is hosted on Heroku.","The largest difficulty we had was designing a good website that was feasible to build within 24 hours. We had a lot of great design ideas, but it was very difficult to make something look beautiful and exactly how we wanted it within the span of DeisHacks.Additionally, we were trying to figure out a way to actually calculate the cost of a heat pump versus alternative options directly on our website to provide the best user experience. Unfortunately,  we were not able to devise an accurate algorithm, so we instead worked around that problem by linking to an external calculator.","We are proud that we were able to create a fully responsive website that connects to a fully-working machine learning algorithm. Additionally, our website is stunning and has a professional look to it, and actually gives the end user a call to action, which is the most important part. We wanted to simplify the process of getting connected with the HSA, as the best way to convince someone to get a heat pump is by actually talking to a friend or advocate.","This was the first time that we created a NextJS website that calls an externally hosted API. This was also our first time working with SVGs to create beautiful backgrounds, which caused a lot of difficulties. Additionally, we wanted to make sure that our app worked on all browsers, and so we had to do a lot of work due to how certain web elements (SVGs, number inputs) interact with web browsers such as Safari, Chrome, and Internet Explorer. Additionally, for half of our team, this was the first time even hearing about heat pumps. There was a lot of learning that we had to do to educate ourselves about our users' needs and why this was important.","One thing we would like to do is provide HSA coaches with the ability to log in and see who they were matched with. Rather than the prospective owner reaching out, they can simply click a button that would say ""I would like to match with this user"" and it would connect to a backend database where the coach could log in, and see homeowners and their specified needs.We would also have liked to have incorporated the heat pump calculator directly on the website but had some difficulty finding the correct algorithm that calculates the cost of various heating functions.","['flask', 'heroku', 'material-ui', 'netlify', 'nextjs', 'python', 'react']","['https://heatpumpbuddy.netlify.app', 'http://www.github.com/mdodell/heatpumpbuddy', 'https://github.com/danielhariyanto/HeatPumpAPI']"
Charles River Museum of Industry and Innovation,"
    Generating new revenue streams
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/915/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/914/datas/gallery.jpg', 'https://www.youtube.com/embed/_9w0ikcdHqM?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/915/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/914/datas/original.png']",We were inspired by the Museum's mission of educating people about America's industrial history and their passion for encouraging and inspiring future innovation. We were inspired to transform their mission into digital products to complement their in person offering.,"Virtual Tour: By using the Matterport platform, which is linked in our submission, we were able to create a 3D visual of the Charles River Museum. Users feel like they’re inside the museum and can navigate through the different exhibits. This virtual tour is perfect for two reasons. First, customers can visit safely while abiding the current health guidelines. Second, implementing Matterport expands the museum's reach to those outside the Waltham area, who might not have otherwise come to visit the museum. Escape Room: Users can tour the whole building and for certain exhibits, like the Boston Associates, we have embedded additional information that the user might be interested in. If customers want more information, they can click the hyperlinked section to go directly to the museum page, or watch the relevant video from the museum’s Youtube channel. ","We taught ourselves new softwares, Matterport and Thinglink, to create our products. Both products were created primarily with 360 degree photographs of the Museum. We then used a combination of information we had curated from meetings with Museum representatives and the Museum website to add an educational element to both products. We also learned how to develop apps without code using bubble.io.",Learning new technology in a short time span was difficult. It was also more difficult to plan and coordinate in a virtual environment. ,We are most proud that we have successfully created two working products the Museum can incorporate on their website today.,We learned about the importance of having an adaptable plan that you can change as you encounter problems during the development process. ,The next step is for the CRMII to continue to innovate and expand their virtual offering.,"['bubble.io', 'matterport', 'thinglink']","['https://youtu.be/_9w0ikcdHqM', 'https://www.thinglink.com/scene/1429876795007565825', 'https://my.matterport.com/show/?m=k3nagRjg7zK', 'http://crmii-virtual-tour-marketplace.bubbleapps.io', 'https://drive.google.com/file/d/1ziSln11jgNzLQyJX42cVeUSznfnUypXj/view?usp=sharing']"
Virtual Academy - Hope Worldwide,"
    Virtual Academy for the Saturday Academy
  ",['https://www.youtube.com/embed/7KI8_jSF_bg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],,,Bubble.io,,,,,['bubble'],
The BTPA Community Companion ,"
    This app was created to complement our mission - bridging the gap between local police officers and the students we serve. We focus on resource aggregation, mentor connection, & impact measurement. 
  ",['https://www.youtube.com/embed/8tXSfM07E7E?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],,"The app includes a wellness tracker, local event listing, forms, mentorship, and resources:a.  Wellness Tracker – Users will input their sit up, push up, kilometers ran count, along with water intake.
b.  Event Listing – Utilizing RSS feeds from local Boston resources that push local events happening around the Greater Boston area.
c.  Forms – Links to all the forms students need, all in one place. Forms could include tax, employment, identification forms
d.  Survey – A general mental and physical wellness survey.  Before that app, the BTPA could only collect this info twice, at the start of the class, and 6 weeks later at the end. They can now collect responses at will, beyond the time limits of the class.
e.  Mentorship – Connect mentors and mentees on a more regular basis. Users can post messages, post to a wall, and keep in touch. All posts will have the ability to be done anonymously.
f.  Resources – These include mental and physical health, safety, college prep, addiction, food insecurity links to help students and beyond help themselves.","The BTPA app utilizes JavaScript, Node.js, React Native, and AWS RDS. In back-end development, we created a custom API from scratch, utilized visual studio code, structured our database with SQL workbench, and other developer packages. We created a front-end mobile UI using react native and ARGON framework. We started with a wireframe template and customized it to make a model out features the BTPA would find valuable and then built it out.","We thought the app development process would be quicker and smoother. The biggest problem we ran into was meshing back end and front end architecture . We developed the API with react and the mobile UI with React Native, and getting them to work well together took more time than we thought. Additionally, since framework development took so long, we had to cut down on some expected features due to time constraints. ","We're extremely proud of just having developed a working application for such a impactful organization.  We had never utilized our skills (as a team) for real-world application and this is a huge accomplishment. We are also proud of our communication and how well we worked together as a team, we realized each one of our strengths complemented another's weakness, so we were surprisingly efficient. ","We learned a lot about the resources most ADULTS don't realize they have access to. A lot of important topics needed to be studied, like: how impact organizations measure impact, what the kids find to be the biggest problems in their lives and how they cope with those problems, a lot of research on mental health practices and physical education. On the development side we learned how to utilize the skills we've learned in class for real world impact and how to solve problems we faced without having the safety net of a class grade. ",,"['amazon-web-services', 'argon', 'custom-api', 'javascript', 'node.js', 'react', 'react-native', 'sql-workbench']",['https://github.com/BTPA-Brandeis/bpta']
Waltham Rotary Club,"
    A revamped website with powerful new features, structure, and enhancements.
  ",['https://www.youtube.com/embed/COQtpMAD6kk?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"We were inspired by the Waltham Rotary Club’s mission and their goal to make a positive impact on the community. One particular point that attracted us to hack for the Waltham Rotary Club was their strategy towards creating a more youth-focused platform. In addition, we were inspired to create a virtual food and clothing drive to provide humanitarian aid even with restrictions on in-person events during the COVID-19 pandemic. ","We ultimately re-developed the original Waltham Rotary Club website, re-integrated the color scheme, and included new features for all users. Waltham Rotary Club’s current plan lacks a diverse platform, which leads to a low participation and attendance rate during club meetings. With this new and improved website, we offer a myriad of attributes: streamlined communication between Waltham Rotary Club and their members through a feedback form, an Eventbrite-styled collection of upcoming events, and a donation platform in collaboration with local organizations, such as the Greater Boston Food Bank and Family Thrift. The new Waltham Rotary Club website not only fulfills Rotary ideals by servicing new generation’s projects, but it also initiates positive experiences by establishing mutually beneficial relationships. Now, Waltham Rotary Club can gain increased exposure and networking for the Waltham Rotary Club, as well as increased membership within the younger generation and cohesion with Rotaract.","We used Repl.it for collaboration as well as bootstrap for consistency and a unique user interface. We referenced the Waltham Rotary Club’s current website to make sure we continue to embody the purpose of their non-profit and the core values they hold. For the contact us and event forms we used the Formspree API to store the user’s responses in a database. We also included the square checkout API for the virtual food and clothing drive events as a way to make checkout easier and more efficient. Lastly, we used the Google Maps API to embed the Waltham Rotary Club’s location.","Linking Square payment and checkout API to the website
Glitches with Repl.it
Implementing bootstrap features that were new to us
Navigation bar covered the logo on different device sizes (computer vs mobile)","This was our first time utilizing Square’s various APIs and connecting them to the back-end and front-end. Though we ran into some challenges, we are proud of our virtual food and clothing drives that successfully integrate Square’s payment system for donations to Waltham Rotary Club’s partner organizations. We are also proud of our new and improved Events page. We included past events hosted by Waltham Rotary Club and future ones that are great fundraising and community opportunities. Additionally, our Event page allows Rotary Club members to sign up for club events through a simple form that is linked to the Formspree database. Finally, we are extremely proud to have created a responsive website that can be viewed on mobile devices comfortably.  ","As mentioned before, this was our team’s first time learning about and integrating Square’s payment and checkout API into our website, which we completed successfully. In addition, we learned the importance of the Formspree API and how user information is stored in the backend server side. Overall, DeisHacks was an incredible education experience, where each of us were given the learning opportunity in brainstorming, coding, and developing a project with a non-profit organization. Although this hackathon was unlike the traditional tech-focused hackathon, the integration of both marketing and technology allowed us to gain exposure and experience into project management. As a very diverse team, we learned how to collaborate virtually with multiple time zones, states, and busy schedules. We are extremely happy that we were granted the opportunity to participate in DeisHacks and create a project for Waltham Rotary Club. We hope to come back for DeisHacks 2022!",,"['adobe-illustrator', 'adobe-xd', 'bootstrap', 'canva', 'css', 'formspree-api', 'github', 'google-maps', 'html', 'javascript', 'node.js', 'square-checkout-api', 'square-payment-api']","['https://deishacks.itzsims.repl.co/', 'https://github.com/zshawar/DeisHacks.git', 'https://docs.google.com/presentation/d/1asVjpOjY-Z88Gx9Md6ldxcj_ZtWRGpj7pgXiYT0ecXw/edit?usp=sharing']"
Mouthful,"
    An app for the homeless community to access resources wherever they are
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/444/204/datas/gallery.jpg', 'https://www.youtube.com/embed/lSa2e1oqhYo?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/444/204/datas/original.png']","Our Teammate Syed and his posse did a lot of work with the homeless, but he realized he might be able to help them more efficiently through coding an application that they can use","It allows the homeless to look for resources that can help them, it includes a map, news feed as well as a health section and a donation section to where people can donate to nearby shelters.","We used mainly html, JavaScript, and css and used tools online to help make it a PWA(Progressive Web App)","We had a lot of trouble with our manifest files to turn it into a pwa, but we figured it out!",We are proud to accomplish making a PWA because it's something we all did for the first time together and we did it succesfuly,We learned about service workers as well as manifest.json files and PWA as a whole as how it's seen as the future of app development.,We plan on expanding our app to include more information about homeless shelters and also connect them and spread word around about our app.,"['css', 'html5', 'javascript', 'json', 'pwa']",['https://mouthful-deishacks.github.io/Mouthful/']
Organizational Report - Waltham RC,"
    A series of targeted solutions applicable to the organization aggregated in an organizational report. The report had an overview of the problems, solutions, and manuals that the Rotary Club can use.
  ",['https://www.youtube.com/embed/MyDh53UICNg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"Our group was inspired by the scale of Rotary International and, consequently, the potential Waltham Rotary Club has to grow as an organization. We were particularly inspired by the belief of service above all else that the organization emphasizes, and how the value of entrepreneurship could be highlighted through service initiatives. Our hack's inspiration came from our group's observation of threats and weaknesses in the club's SWOT analysis. We decided that creating an operations report would help directly address these issues and be the most efficient solution that the organization can use. We aimed for a more Non-Technical solution as the organization had a lack of empirical data making technical hacks more difficult to create. Instead, the operational report provides a business perspective into the organization that has a brief analysis of the problems the club is facing along with hand crafted solutions that our group created.","Documentation that identifies problems in the organization, provides detailed solutions, and methodology of those solutions. We focus on member diversity, member accountability, and social media presence. The operational report offers suggestions and instructions to address these problems. We also provide examples of certain suggestions in the operational report.","Analyzed the organization’s SWOT to identify weaknesses and threats, proposed targeted solutions to each of the identified disruptions, detailed implementation manuals for each solution. We researched other organizations with similar goals and modelled certain certain solutions to those organization’s successes.","We found a lack of numerical/empirical data and documentation within the club. This made it hard for us to find a technical solution, as we were not sure if any solutions we brought to the table were really needed or would be useful.","We are really proud of the end result for our hack. The resulting 13 page operations report provides specific information on solutions that can help the Rotary Club improve their issues. It was amazing to work as a team of four on this project while knowing that the resulting document will genuinely be used to benefit such an amazing non-profit. Brendon, Rohit, and Allen were super excited in finishing their first ever hack.",We learned how to innovate a company's business operations without being given empirical data. We also learned how we could combine aspects of STEM with business paradigms to propose solutions.,"We think Waltham RC should branch out to other social media to help bring in new members of different backgrounds. Additionally, a dashboard to display data from members surveys can help the club keep track of membership, member activity, and other club financials more easily. ",['office'],['https://drive.google.com/file/d/1OMUmoEYKnsDHUunYP63xwvTLsusXvjNa/view?usp=sharing']
